선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,생일,시즌
이종범94해SS,124,561,499,113,196,27,5,19,290,77,84,15,51,6,14,31,2,1,4,0.393,0.452,0.581,1.033,0.462,198.3,11.77,1970-08-15,1994
테임즈15N1B,142,595,472,130,180,42,5,47,373,140,40,8,103,13,11,91,7,0,7,0.381,0.498,0.79,1.288,0.53,222.3,10.71,1986-11-10,2015
심정수03현RF,133,601,460,110,154,16,1,53,331,142,6,2,124,9,17,63,14,0,8,0.335,0.478,0.72,1.197,0.498,210.7,10.19,1975-05-05,2003
이종범97해SS,125,577,484,112,157,28,3,30,281,74,64,15,87,3,30,49,9,0,3,0.324,0.428,0.581,1.009,0.431,173.2,9.7,1970-08-15,1997
이종범96해SS,113,525,449,94,149,28,1,25,254,76,57,12,67,7,15,39,4,0,2,0.332,0.425,0.566,0.991,0.44,184.6,9.52,1970-08-15,1996
이승엽02삼1B,133,617,511,123,165,42,2,47,352,126,1,2,89,15,5,109,11,0,2,0.323,0.436,0.689,1.125,0.472,198.5,8.96,1976-08-18,2002
이승엽99삼1B,132,614,486,128,157,33,2,54,356,123,10,2,112,12,6,114,7,0,4,0.323,0.458,0.733,1.19,0.486,191.8,8.91,1976-08-18,1999
이대호10롯3B,127,552,478,99,174,13,0,44,319,133,0,2,61,10,6,77,15,0,3,0.364,0.444,0.667,1.111,0.482,192.4,8.82,1982-06-21,2010
장종훈91빙1B,126,558,464,104,160,24,4,35,297,114,21,11,76,15,8,88,12,0,3,0.345,0.45,0.64,1.09,0.482,204.2,8.79,1968-04-10,1991
홍현우96해3B,126,549,443,83,147,30,4,17,236,67,18,9,97,4,10,64,8,1,4,0.332,0.453,0.533,0.985,0.442,186.1,8.75,1972-09-28,1996
양준혁96삼RF,126,530,436,89,151,33,2,28,272,87,23,18,82,6,8,76,4,0,5,0.346,0.452,0.624,1.076,0.474,207,8.56,1969-05-26,1996
이승엽03삼1B,131,596,479,115,144,23,0,56,335,144,7,0,101,10,9,89,11,0,6,0.301,0.428,0.699,1.127,0.471,191.2,8.39,1976-08-18,2003
브룸바04현LF,132,594,475,92,163,25,1,33,289,105,7,8,114,1,10,79,10,0,4,0.343,0.468,0.608,1.076,0.473,190.6,8.37,1974-04-21,2004
